# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.926211941195685506e-01,4.905177591523281243e-04,1.573930688164162581e-02,8.440132776454284695e-04
6.924831992001645453e-01,6.244337351126570288e-04,1.270655580916176496e-02,8.376389601464119539e-04
5.928626660112350510e-01,6.440825381354140823e-04,9.681161772701578697e-03,7.941007609807239137e-04
5.184716568079910104e-01,6.726410008277601419e-04,7.400214301258171631e-03,7.632319158629015344e-04
4.553143897278641994e-01,6.763294824724015849e-04,5.699081878669031570e-03,7.227876796092082279e-04
4.041771075022970172e-01,6.724012888137206488e-04,4.420202799317736811e-03,6.838175454080813037e-04
3.614359735179566435e-01,6.590942207291271846e-04,3.453937698369954120e-03,6.447151171929540407e-04
3.257120822305849539e-01,6.404816097080069919e-04,2.719743542736921104e-03,6.072478655029641065e-04
2.954103480883030763e-01,6.178227054840304284e-04,2.159270056302133988e-03,5.713783091632982508e-04
2.694735650226673385e-01,5.927363199525829398e-04,1.729363307079157929e-03,5.373701547484139663e-04
2.470185404716731814e-01,5.662073239064704337e-04,1.398061893098376425e-03,5.052007204403542121e-04
2.273833897253487168e-01,5.390458027328115780e-04,1.141491098288009579e-03,4.748521980773190323e-04
2.100463546739926857e-01,5.118156866172915518e-04,9.417541474137413118e-04,4.462551783685089301e-04
1.946039023844975679e-01,4.849322578970309181e-04,7.853738970529272915e-04,4.193338264441501262e-04
1.807393782184101294e-01,4.586845830940450004e-04,6.621704273477940989e-04,3.940038247395686601e-04
1.682040497748772956e-01,4.332715809053695895e-04,5.644314867981766425e-04,3.701806736674089762e-04
1.568008448682170763e-01,4.088230698767913638e-04,4.863001871440079753e-04,3.477808808316564275e-04
1.463725791077488125e-01,3.854181089478110069e-04,4.233186245780904745e-04,3.267237391651435984e-04
1.367927644138396959e-01,3.630981042218408596e-04,3.720867480225941034e-04,3.069318325127093567e-04
1.279586813919090793e-01,3.418770094801325331e-04,3.300061499445569179e-04,2.883313943873301003e-04
1.197860675923866636e-01,3.217489222540793762e-04,2.950871021284255918e-04,2.708523841694519753e-04
1.122050701589557137e-01,3.026938350651271650e-04,2.658028104662529616e-04,2.544284742546222382e-04
1.051571458252183733e-01,2.846819381625008720e-04,2.409791013516747178e-04,2.389969620834730285e-04
9.859268537106796737e-02,2.676768409684389871e-04,2.197107680480128256e-04,2.244986489495668042e-04
9.246918738572679208e-02,2.516379687269075863e-04,2.012980358637498593e-04,2.108776979125795285e-04
8.674985075133333223e-02,2.365223372615211429e-04,1.851982421628411285e-04,1.980814824380280198e-04
8.140248605653453706e-02,2.222858570337460176e-04,1.709890446234995829e-04,1.860604312773663492e-04
7.639867049355071604e-02,2.088842822118288582e-04,1.583403778490613978e-04,1.747678735539076654e-04
7.171308885141212952e-02,1.962738921673172195e-04,1.469930575880968552e-04,1.641598863595128703e-04
6.732301702189254222e-02,1.844119718171844985e-04,1.367424419085697411e-04,1.541951463994115654e-04
6.320791484794627269e-02,1.732571411249694154e-04,1.274259430118408363e-04,1.448347866348506446e-04
5.934910305679434728e-02,1.627695719106068170e-04,1.189134736042799304e-04,1.360422585174996804e-04
5.572950501917471600e-02,1.529111208652988486e-04,1.111001313654343895e-04,1.277832001541306483e-04
5.233343863510052374e-02,1.436454006486998696e-04,1.039005915107321236e-04,1.200253105651915685e-04
4.914644711150067263e-02,1.349378056127613010e-04,9.724480378779556521e-05,1.127382300743732260e-04
4.615516003416784974e-02,1.267555046481746094e-04,9.107468625277330583e-05,1.058934267766425334e-04
